ID,Task,Risorse,Data,Ore Effettive,Descrizione
2309,194 | Saldatura Guscio Principale | PV-2025-01,Luca Bianchi,20/5/2025,"9,0","Saldatura longitudinale completata, nessun problema riscontrato."
2310,194 | Saldatura Guscio Principale | PV-2025-01,Luca Bianchi,22/5/2025,"8,0","Saldatura circonferenziale, avanzamento regolare."
2311,194 | Saldatura Guscio Principale | PV-2025-01,Luca Bianchi,24/5/2025,"10,0",Piccolo rallentamento per controllo qualità intermedio
2312,195 | Controlli NDT sulle Saldature | PV-2025-01,Giulia Ferri,7/6/2025,"5,0","Controllo radiografico su saldature principali, tutto conforme"
2313,195 | Controlli NDT sulle Saldature | PV-2025-01,Giulia Ferri,10/6/2025,"4,0","Controllo liquidi penetranti, nessuna difettosità rilevata"
2314,195 | Controlli NDT sulle Saldature | PV-2025-01,Giulia Ferri,13/6/2025,"6,0","Verifica finale e compilazione report, attività conclusa in anticipo."
2315,193 | Taglio Lamiere e Assemblaggio Iniziale | PV-2025-01,Davide Romano,16/5/2025,"7,0","Taglio lamiere secondo disegno, nessun intoppo"
2316,193 | Taglio Lamiere e Assemblaggio Iniziale | PV-2025-01,Davide Romano,18/5/2025,"9,0","Assemblaggio componenti principali, avanzamento regolare"
2317,193 | Taglio Lamiere e Assemblaggio Iniziale | PV-2025-01,Davide Romano,22/5/2025,"9,0","Assemblaggio completato, attività chiusa nei tempi previsti"
2318,199 | Trattamento Termico Post-Saldatura | PV-2025-01,Sara Greco,27/7/2025,"5,0","Caricamento pezzo in forno, avvio ciclo termico."
2319,199 | Trattamento Termico Post-Saldatura | PV-2025-01,Sara Greco,29/7/2025,"7,0","Monitoraggio ciclo e scarico pezzo, attività completata in linea con la pianificazione"
2320,200 | Verniciatura Esterna Pressure Vessel | PV-2025-01,Matteo Villa,7/9/2025,"5,0",Preparazione superfici e applicazione primer.
2321,200 | Verniciatura Esterna Pressure Vessel | PV-2025-01,Matteo Villa,9/9/2025,"4,0","Verniciatura finale, attività conclusa in anticipo"
2322,201 | Preparazione Documentazione di Spedizione | PV-2025-01,Elena Marchetti,21/10/2025,"3,0",Raccolta documenti tecnici e certificazioni.
2323,201 | Preparazione Documentazione di Spedizione | PV-2025-01,Elena Marchetti,24/10/2025,"4,0","Compilazione DDT e verifica finale, attività completata nei tempi."
2324,197 | Ispezione Qualità Intermedia | PV-2025-01,Giulia Ferri,12/7/2025,"4,0","Controllo visivo e verifica dimensionale, nessuna anomalia"
2325,197 | Ispezione Qualità Intermedia | PV-2025-01,Giulia Ferri,18/7/2025,"2,0","Aggiornamento report qualità, attività in corso."
2326,198 | Assemblaggio Componenti Interni | PV-2025-01,Davide Romano,16/7/2025,"5,0","Montaggio deflettori interni, avanzamento regolare."
2327,198 | Assemblaggio Componenti Interni | PV-2025-01,Davide Romano,20/7/2025,"4,0","Fissaggio supporti, attività leggermente in ritardo per attesa materiale."
2328,196 | Saldatura Raccordi e Attacchi | PV-2025-01,Luca Bianchi,22/6/2025,"8,0","Saldatura raccordi principali, avanzamento regolare"
2329,194 | Saldatura Guscio Principale | PV-2025-01,Luca Bianchi,28/6/2025,"10,0","Saldatura attacchi secondari, attività in leggero ritardo per verifica disegni"
2330,184 | Saldatura Guscio Principale | PV-2024-01,Luca Bianchi,14/3/2024,"10,0","Saldatura longitudinale, rallentamento per difetto materiale"
2331,184 | Saldatura Guscio Principale | PV-2024-01,Luca Bianchi,18/3/2024,"12,0","Saldatura circonferenziale, problemi con allineamento pezzi"
2332,184 | Saldatura Guscio Principale | PV-2024-01,Luca Bianchi,25/3/2024,"13,0",Ripresa saldature per difetti riscontrati ai controlli
2333,185 | Controlli NDT sulle Saldature | PV-2024-01,Giulia Ferri,3/4/2024,"7,0","Controllo radiografico, riscontrate difettosità"
2334,185 | Controlli NDT sulle Saldature | PV-2024-01,Giulia Ferri,8/4/2024,"11,0",Ripetizione controlli dopo riparazione saldature
2336,186 | Taglio Lamiere e Assemblaggio Iniziale | PV-2024-01,Davide Romano,11/3/2024,"8,0","Taglio lamiere, rallentamento per errore disegno"
2337,186 | Taglio Lamiere e Assemblaggio Iniziale | PV-2024-01,Davide Romano,17/3/2024,"14,0","Assemblaggio, attesa materiale"
2339,187 | Trattamento Termico Post-Saldatura | PV-2024-01,Sara Greco,17/5/2024,"7,0","Caricamento pezzo in forno, guasto temporaneo"
2340,187 | Trattamento Termico Post-Saldatura | PV-2024-01,Sara Greco,22/5/2024,"7,0",Ripresa trattamento dopo riparazione forno
2341,188 | Verniciatura Esterna Pressure Vessel | PV-2024-01,Matteo Villa,17/6/2024,"6,0","Verniciatura, problemi con primer."
2342,188 | Verniciatura Esterna Pressure Vessel | PV-2024-01,Matteo Villa,19/6/2024,"4,0","Seconda mano, attività completata"
2343,189 | Preparazione Documentazione di Spedizione | PV-2024-01,Elena Marchetti,30/7/2024,"4,0","Raccolta documenti, attesa certificazioni"
2344,189 | Preparazione Documentazione di Spedizione | PV-2024-01,Elena Marchetti,1/8/2024,"3,0","Compilazione DDT, spedizione confermata"
2351,192 | Saldatura Raccordi e Attacchi | PV-2024-01,Luca Bianchi,7/4/2024,"9,0","Saldatura raccordi principali, rallentamento per verifica materiali."
2352,192 | Saldatura Raccordi e Attacchi | PV-2024-01,Luca Bianchi,13/4/2024,"11,0","Saldatura attacchi secondari, necessaria ripresa su alcune giunzioni."
2353,192 | Saldatura Raccordi e Attacchi | PV-2024-01,Luca Bianchi,18/4/2024,"10,0","Completamento saldature, attività chiusa con collaudo positivo."
2354,191 | Assemblaggio Componenti Interni | PV-2024-01,Davide Romano,16/4/2024,"7,0","Montaggio deflettori interni, attesa bulloneria speciale."
2355,191 | Assemblaggio Componenti Interni | PV-2024-01,Davide Romano,21/4/2024,"9,0","Fissaggio supporti e verifica allineamento, attività completata"
2356,190 | Ispezione Qualità Intermedia | PV-2024-01,Giulia Ferri,6/5/2024,"6,0","Controllo visivo e dimensionale, riscontrate alcune non conformità"
2357,190 | Ispezione Qualità Intermedia | PV-2024-01,Giulia Ferri,9/5/2024,"4,0","Aggiornamento report qualità e verifica correzioni, attività conclusa"
2401,228 | Progettazione Dettagliata Separatori | SEP-2025-02,James Wilson,1/4/2025,"8,0","Kick-off progettazione, analisi requisiti cliente."
2402,228 | Progettazione Dettagliata Separatori | SEP-2025-02,James Wilson,5/4/2025,"14,0","Progressi modellazione 3D, revisione tecnica interna."
2403,228 | Progettazione Dettagliata Separatori | SEP-2025-02,James Wilson,12/4/2025,"16,0","Finalizzazione disegni IFC, attività completata nei tempi."
2404,229 | Ordine Materiali Speciali | SEP-2025-02,Emma Thompson,21/4/2025,"12,0",Invio richieste di offerta a fornitori certificati.
2405,229 | Ordine Materiali Speciali | SEP-2025-02,Emma Thompson,3/5/2025,"20,0","Chiusura ordine, ritardo per verifica certificazioni."
2406,230 | Taglio Lamiere Separatori | SEP-2025-02,Luca Bianchi,16/5/2025,"11,0","Taglio lamiere secondo disegno, nessun intoppo."
2407,230 | Taglio Lamiere Separatori | SEP-2025-02,Luca Bianchi,20/5/2025,"12,0","Prosecuzione taglio, controllo dimensionale ok."
2408,230 | Taglio Lamiere Separatori | SEP-2025-02,Luca Bianchi,25/5/2025,"10,0","Conclusione taglio, attività chiusa in anticipo."
2409,231 | Assemblaggio Internals | SEP-2025-02,Giulia Ferri,2/6/2025,"18,0","Avvio montaggio deflettori interni, piccola revisione disegni."
2410,231 | Assemblaggio Internals | SEP-2025-02,Giulia Ferri,8/6/2025,"17,0","Fissaggio distributori, avanzamento regolare."
2411,231 | Assemblaggio Internals | SEP-2025-02,Giulia Ferri,14/6/2025,"17,0","Chiusura attività, completata nei tempi previsti."
2412,232 | Saldatura Gusci Principali | SEP-2025-02,Marco Conti,19/6/2025,"10,0","Saldatura gusci longitudinali, leggera attesa materiale."
2413,232 | Saldatura Gusci Principali | SEP-2025-02,Marco Conti,25/6/2025,"9,0","Saldature circonferenziali, verifiche UT intermedie."
2414,232 | Saldatura Gusci Principali | SEP-2025-02,Marco Conti,2/7/2025,"9,0","Riprese minori, attività al 65% del completamento."
2415,236 | Survey Topografico Tracciato | G.PIPE-2025-03,Carlos Rodriguez,11/2/2025,"12,0","Rilievo GPS punti chiave, condizioni meteo favorevoli."
2416,236 | Survey Topografico Tracciato | G.PIPE-2025-03,Carlos Rodriguez,15/2/2025,"10,0","Completamento rilievi altimetrici, nessun problema riscontrato."
2417,236 | Survey Topografico Tracciato | G.PIPE-2025-03,Carlos Rodriguez,22/2/2025,"13,0","Elaborazione dati e consegna mappe, chiusura milestone."
2418,237 | Ordine Tubazioni API 5L | G.PIPE-2025-03,Sophie Martin,1/3/2025,"12,0","Richiesta quotazioni, confronto prezzi con fornitore spagnolo."
2419,237 | Ordine Tubazioni API 5L | G.PIPE-2025-03,Sophie Martin,10/3/2025,"16,0","Emissione PO, ritardo di 2 giorni per approvazione QA."
2420,238 | Preparazione Cantiere | G.PIPE-2025-03,Davide Romano,26/3/2025,"14,0","Allestimento aree di stoccaggio, installazione recinzioni."
2421,238 | Preparazione Cantiere | G.PIPE-2025-03,Davide Romano,2/4/2025,"16,0","Movimentazione terra, realizzazione piazzole saldatura."
2422,238 | Preparazione Cantiere | G.PIPE-2025-03,Davide Romano,8/4/2025,"12,0","Verifica accessi e sicurezza, attività completata in tempo."
2423,239 | Scavi Meccanizzati Tratto 1 | G.PIPE-2025-03,Luca Bianchi,16/4/2025,"20,0","Avvio scavi meccanizzati, incontro ostacolo roccioso."
2424,239 | Scavi Meccanizzati Tratto 1 | G.PIPE-2025-03,Luca Bianchi,25/4/2025,"18,0","Rimozione ostacolo, recupero parziale del ritardo."
2425,239 | Scavi Meccanizzati Tratto 1 | G.PIPE-2025-03,Luca Bianchi,3/5/2025,"20,0","Prosecuzione scavi, controlli geotecnici ok."
2426,239 | Scavi Meccanizzati Tratto 1 | G.PIPE-2025-03,Luca Bianchi,10/5/2025,"20,0","Chiusura scavi tratto 1, attività conclusa con +2 giorni."
2427,240 | Posa e Allineamento Tubi | G.PIPE-2025-03,James Wilson,21/5/2025,"12,0","Posa tubi sezione 0-500 m, condizioni meteo ottimali."
2428,240 | Posa e Allineamento Tubi | G.PIPE-2025-03,James Wilson,28/5/2025,"11,0","Allineamento e tack welding, ispezione dimensionale."
2429,240 | Posa e Allineamento Tubi | G.PIPE-2025-03,James Wilson,4/6/2025,"12,0","Progresso posa 60%, lieve ritardo per pioggia improvvisa."
2430,244 | Progettazione Strutturale Jacket | OFF.P-2025-04,Pierre Dubois,2/9/2025,"12,0","Analisi carichi ambientali, definizione parametri base."
2431,244 | Progettazione Strutturale Jacket | OFF.P-2025-04,Pierre Dubois,8/9/2025,"10,0","Model update e calcoli FEM, revisione con team inglese."
2432,244 | Progettazione Strutturale Jacket | OFF.P-2025-04,Pierre Dubois,15/9/2025,"10,0","Preparazione deliverable preliminare, 50% completata."
2434,252 | Progettazione Dettagliata Skid | G.Dh-2024-02,James Wilson,12/2/2024,"8,0","Kick-off progettazione, definizione layout generale skid."
2435,252 | Progettazione Dettagliata Skid | G.Dh-2024-02,James Wilson,16/2/2024,"10,0",Sviluppo P&ID e specifiche tecniche vessel.
2436,252 | Progettazione Dettagliata Skid | G.Dh-2024-02,James Wilson,22/2/2024,"12,0","Finalizzazione disegni assemblaggio, revisione con cliente."
2437,252 | Progettazione Dettagliata Skid | G.Dh-2024-02,James Wilson,26/2/2024,"8,0","Chiusura progettazione, consegna documentazione."
2438,253 | Ordine Materiali Principali | G.Dh-2024-02,Michael Evans,4/3/2024,"6,0",Richiesta quotazioni vessel e componenti principali.
2439,253 | Ordine Materiali Principali | G.Dh-2024-02,Michael Evans,8/3/2024,"8,0",Valutazione offerte e negoziazione prezzi.
2440,253 | Ordine Materiali Principali | G.Dh-2024-02,Michael Evans,15/3/2024,"12,0","Emissione ordini, ritardo per approvazione budget."
2441,254 | Assemblaggio Struttura Skid | G.Dh-2024-02,Roberto Greco,28/4/2024,"12,0","Preparazione carpenteria base, taglio profili."
2442,254 | Assemblaggio Struttura Skid | G.Dh-2024-02,Roberto Greco,6/5/2024,"14,0","Saldatura telaio principale, controlli dimensionali."
2443,254 | Assemblaggio Struttura Skid | G.Dh-2024-02,Roberto Greco,15/5/2024,"16,0","Posizionamento vessel principale, allineamento."
2444,254 | Assemblaggio Struttura Skid | G.Dh-2024-02,Roberto Greco,25/5/2024,"12,0","Installazione piping principale, test preliminari."
2445,254 | Assemblaggio Struttura Skid | G.Dh-2024-02,Roberto Greco,8/6/2024,"10,0",Assemblaggio componenti ausiliari.
2446,254 | Assemblaggio Struttura Skid | G.Dh-2024-02,Roberto Greco,20/6/2024,"14,0","Completamento assemblaggio meccanico, attività in linea."
2447,255 | Installazione Strumentazione e Cablaggi | G.Dh-2024-02,Michael Evans,3/7/2024,"12,0",Installazione sensori di processo e trasmettitori.
2448,255 | Installazione Strumentazione e Cablaggi | G.Dh-2024-02,Michael Evans,12/7/2024,"14,0","Cablaggio quadri elettrici, piccolo ritardo per materiale."
2449,255 | Installazione Strumentazione e Cablaggi | G.Dh-2024-02,Michael Evans,25/7/2024,"16,0",Programmazione PLC e test loop di controllo.
